"row" "condition" "age" "female" "hispanic" "lunch" "esollevel" "stanmath" "stanread" "learndis" "ability1" "ability2" "ability3" "ability4" "mathse"
"1" 1 14.3217 0 1 1 5 305 309 1 -1.71029 1.724337 3.027766 3.411863 32
"2" 1 13.81246 1 1 0 5 294 249 0 0.040053 -3.65316 -0.521523 1.226635 28
"3" 1 13.44285 0 0 1 6 308 325 0 1.064029 1.724337 1.007718 2.096395 28
"5" 1 13.54415 1 0 0 5 272 302 0 -1.02803 1.724337 1.528777 0.620587 30
"6" 1 14.87748 1 1 1 6 272 293 0 -1.71029 -1.47627 -1.18336 -0.389125 29
"7" 1 13.08693 1 1 1 6 308.8779 301.3947 0 1.694322 0.102875 3.027766 2.096395 27
"8" 1 14.54346 1 1 1 6 336 320 0 1.064029 1.724337 4.356252 2.096395 30
"9" 0 15.00616 1 1 1 5 301 338 0 3.972222 3.946062 3.027766 2.096395 32
"10" 0 13.27858 0 0 0 6 321 272 1 0.040053 1.104519 2.143643 0.620587 33
"11" 0 14.57084 0 1 1 5 293 343 0 1.064029 0.102875 0.0225 0.10246 32
"12" 0 13.66188 1 0 0 6 343 325 0 2.609382 -0.878592 1.528777 0.620587 33
"13" 0 14.01232 1 0 0 6 296 328 0 0.535507 1.104519 2.143643 1.226635 32
"14" 0 13.71116 1 1 0 6 285 351 0 0.040053 0.102875 1.528777 -0.890334 17
"15" 0 13.71116 1 1 0 6 333 286 0 1.694322 -0.372518 0.0225 0.620587 29
"16" 0 13.16632 1 1 0 5 338 316 0 2.609382 -3.65316 1.007718 1.226635 31
"17" 1 13.74401 1 1 0 5 278 333 0 3.972222 0.102875 2.143643 2.096395 28
"18" 1 13.72211 1 1 0 6 303 265 0 2.609382 0.583529 1.007718 2.096395 30
"19" 1 13.35524 1 0 1 6 336 296 0 0.535507 1.724337 1.007718 2.096395 24
"20" 1 13.30048 1 0 1 6 260 285 0 -0.466456 1.724337 0.0225 1.226635 33
"32" 1 13.10609 1 0 1 6 323.895 341.0541 0 -0.466456 -0.372518 NA 1.226635 28
"33" 1 13.40452 1 0 1 5 317 241 0 0.535507 1.724337 4.356252 -0.389125 33
"35" 0 13.91923 0 0 1 6 313 335 0 1.694322 -0.372518 3.027766 -3.00693 33
"36" 0 13.54141 0 0 1 6 238.6968 244.8684 0 -1.71029 -0.372518 -1.18336 0.620587 36
"37" 0 13.70021 0 1 1 6 325 330 1 3.972222 0.583529 3.027766 2.096395 36
"38" 0 13.56331 1 0 1 6 317 286 0 -1.71029 2.61481 1.007718 -0.389125 31
"39" 0 13.99863 1 0 1 6 298 329 0 1.064029 0.102875 1.528777 1.226635 35
"40" 0 13.75496 0 0 1 6 270 268 0 -1.02803 0.102875 0.0225 0.10246 31
"41" 0 13.08419 0 0 1 6 278 263 0 -1.71029 -2.34077 -0.521523 -0.389125 40
"42" 0 14.04517 0 1 0 5 319 322 0 0.535507 2.61481 1.528777 0.620587 30
"43" 0 13.83984 1 0 0 6 311 375 1 1.064029 0.102875 -0.521523 -0.890334 20
"44" 0 13.0924 1 1 0 5 293 291 0 0.040053 0.102875 -1.18336 -1.43621 20
"45" 0 14.88296 0 1 0 6 318.3584 309.3629 0 0.535507 1.104519 2.143643 3.411863 37
"47" 0 14.21218 0 0 0 6 247 239 0 0.040053 -0.878592 -0.521523 -0.890334 28
"48" 0 13.73854 0 0 1 5 294 282 0 1.064029 3.946062 2.143643 1.226635 29
"49" 0 13.92745 0 1 1 6 321 328 0 2.609382 1.104519 1.528777 0.620587 30
"50" 0 13.86174 0 1 1 5 349 378 0 3.972222 1.104519 1.528777 2.096395 30
"51" 1 13.17728 1 1 0 6 291 322 0 0.040053 NA 1.007718 3.411863 27
"53" 1 14.55715 1 0 1 6 327 328 1 1.064029 NA 1.528777 1.226635 28
"54" 1 12.9911 1 1 0 5 343 362 0 1.064029 3.946062 1.007718 1.226635 31
"55" 1 14.00684 1 1 1 5 303 280 0 1.064029 1.104519 1.007718 3.411863 28
"56" 1 13.40178 0 1 1 6 284 342 0 -1.02803 0.583529 0.518528 0.10246 29
"57" 1 14.89117 0 1 1 6 345 373 0 0.535507 1.724337 0.518528 1.226635 30
"58" 1 13.71389 1 1 1 5 261 307 0 -4.07785 -3.65316 -2.15121 -0.389125 30
"59" 1 14.59822 0 1 1 5 310 339 0 -1.71029 1.724337 2.143643 0.620587 30
"61" 0 13.98768 0 0 1 6 302 303 0 1.064029 1.724337 0.0225 0.620587 27
"84" 0 15.52635 1 1 1 4 100 202 0 2.609382 NA -2.15121 -3.00693 26
"85" 0 13.95756 0 0 1 6 270 221 0 -0.466456 NA -1.18336 -1.43621 35
"87" 0 14.05065 1 1 1 4 209 215 0 -2.68322 NA -0.521523 0.620587 21
"88" 0 13.58795 1 0 1 6 218 174 0 -1.02803 NA -3.56417 -2.08483 18
"89" 0 13.12526 1 0 1 6 248 225 0 1.064029 0.102875 0.0225 -0.389125 34
"90" 0 14.17933 1 0 1 6 241 248 0 -0.466456 0.583529 0.518528 -0.389125 29
"91" 0 14.42026 1 1 1 5 195 179 0 -1.71029 -2.34077 -1.18336 -0.890334 33
"95" 1 13.72485 1 1 1 5 266 298 0 1.694322 -0.372518 1.528777 3.411863 25
"96" 1 13.23751 0 0 1 6 284 255 0 -0.466456 0.102875 2.143643 3.411863 28
"98" 1 14.03422 0 1 1 5 334 369 0 3.972222 3.946062 3.027766 2.096395 31
"99" 1 13.16906 0 1 1 5 294 183 0 1.694322 1.104519 0.518528 3.411863 30
"100" 1 13.08966 0 1 1 5 277 196 0 1.064029 1.104519 0.0225 3.411863 36
"101" 1 13.10335 0 1 1 5 305 247 0 -0.466456 2.61481 1.007718 2.096395 31
"103" 1 13.62902 0 1 0 5 342 301 1 0.535507 -0.878592 2.143643 2.096395 31
"104" 1 14.35181 0 1 1 5 287 286 0 0.040053 0.102875 1.528777 0.620587 29
"105" 1 13.94387 0 1 1 5 294 308 0 0.535507 1.104519 1.528777 3.411863 20
"106" 1 14.54894 0 1 1 5 330 284 0 1.064029 1.724337 3.027766 1.226635 26
"109" 1 13.97947 0 1 1 5 337 322 0 2.609382 1.724337 NA 2.096395 40
"110" 1 13.6564 0 1 0 6 309 310 0 1.694322 2.61481 3.027766 3.411863 34
"111" 1 14.06434 1 1 1 5 325 336 0 1.694322 1.724337 1.007718 2.096395 28
"112" 1 13.94661 0 1 1 5 330 328 0 1.064029 1.104519 NA 2.096395 36
"114" 1 13.60164 0 1 1 5 324 319 0 0.040053 1.104519 2.143643 3.411863 33
"115" 0 14.02601 1 0 0 6 309 309 0 2.609382 -2.34077 1.007718 -0.890334 21
"116" 0 13.21834 1 1 1 5 265 230 0 -1.02803 1.104519 -1.18336 1.226635 22
"117" 0 13.48665 0 1 0 5 297 334 1 0.040053 0.583529 0.0225 1.226635 27
"118" 0 13.64819 1 0 1 6 284 329 0 0.040053 NA NA 0.620587 27
"119" 0 13.86174 1 1 1 5 286.3592 311.9755 0 2.609382 0.583529 0.518528 1.226635 20
"120" 0 14.42574 1 1 1 5 310 321 1 1.064029 2.61481 1.528777 1.226635 28
